year,month,day,hour,minute,web01prdjc,web02prdjc,web01stgjc,webo2stgjc
2013,07,11,11,06,up,up,,
2013,07,11,11,07,up,up,,
2013,07,11,11,08,up,up,,
2013,07,11,11,09,up,up,,
2013,07,11,11,10,up,up,,
2013,07,11,11,11,up,up,,
2013,07,11,11,12,up,up,,
2013,07,11,11,13,up,up,,
2013,07,11,11,14,up,up,,
2013,07,11,11,15,up,up,,
2013,07,11,11,16,up,up,,
2013,07,11,11,17,up,up,,
2013,07,11,11,18,up,up,,
2013,07,11,11,19,up,up,,
2013,07,11,11,20,up,up,,
2013,07,11,11,21,up,up,,
2013,07,11,11,22,up,up,,
2013,07,11,11,23,up,up,,
2013,07,11,11,24,up,up,,
2013,07,11,11,25,up,up,,
2013,07,11,11,26,up,up,,
2013,07,11,11,27,up,up,,
2013,07,11,11,28,up,up,,
2013,07,11,11,29,up,up,,
2013,07,11,11,30,up,up,,
2013,07,11,11,31,up,up,,
2013,07,11,11,32,up,up,,
2013,07,11,11,33,up,up,,
2013,07,11,11,34,up,up,,
2013,07,11,11,35,up,up,,
2013,07,11,11,36,up,up,,
2013,07,11,11,37,up,up,,
2013,07,11,11,38,up,up,,
2013,07,11,11,39,up,up,,
2013,07,11,11,40,up,up,,
2013,07,11,11,41,up,up,,
2013,07,11,11,42,up,up,,
2013,07,11,11,43,up,up,,
2013,07,11,11,44,up,up,,
2013,07,11,11,45,up,up,,
2013,07,11,11,46,up,up,,
2013,07,11,11,47,up,up,,
2013,07,11,11,48,up,up,,
2013,07,11,11,49,up,up,,
2013,07,11,11,50,up,up,,
2013,07,11,11,51,up,up,,
2013,07,11,11,52,up,up,,
2013,07,11,11,53,up,up,,
2013,07,11,11,54,up,up,,
2013,07,11,11,55,up,up,,
2013,07,11,11,56,up,up,,
2013,07,11,11,57,up,up,,
2013,07,11,11,58,up,up,,
2013,07,11,11,59,up,up,,
2013,07,11,12,00,up,up,,
2013,07,11,12,01,up,up,,
2013,07,11,12,02,up,up,,
2013,07,11,12,03,up,up,,
2013,07,11,12,04,up,up,,
2013,07,11,12,05,up,up,,
2013,07,11,12,06,up,up,,
2013,07,11,12,07,up,up,,
2013,07,11,12,08,up,up,,
2013,07,11,12,09,up,up,,
2013,07,11,12,10,up,up,,
2013,07,11,12,11,up,up,,
2013,07,11,12,12,up,up,,
2013,07,11,12,13,up,up,,
2013,07,11,12,14,up,up,,
2013,07,11,12,15,up,up,,
2013,07,11,12,16,up,up,,
2013,07,11,12,17,up,up,,
2013,07,11,12,18,up,up,,
2013,07,11,12,19,up,up,,
2013,07,11,12,20,up,up,,
2013,07,11,12,21,up,up,,
2013,07,11,12,22,up,up,,
2013,07,11,12,23,up,up,,
2013,07,11,12,24,up,up,,
2013,07,11,12,25,up,up,,
2013,07,11,12,26,up,up,,
2013,07,11,12,27,up,up,,
2013,07,11,12,28,up,up,,
2013,07,11,12,29,up,up,,
2013,07,11,12,30,up,up,,
2013,07,11,12,31,up,up,,
2013,07,11,12,32,up,up,,
2013,07,11,12,33,up,up,,
2013,07,11,12,34,up,up,,
2013,07,11,12,35,up,up,,
2013,07,11,12,36,up,up,,
2013,07,11,12,37,up,up,,
2013,07,11,12,38,up,up,,
2013,07,11,12,39,up,up,,
2013,07,11,12,40,up,up,,
2013,07,11,12,41,up,up,,
2013,07,11,12,42,up,up,,
2013,07,11,12,43,up,up,,
2013,07,11,12,44,up,up,,
2013,07,11,12,45,up,up,,
2013,07,11,12,46,up,up,,
2013,07,11,12,47,up,up,,
2013,07,11,12,48,up,up,,
2013,07,11,12,49,up,up,,
2013,07,11,12,50,up,up,,
2013,07,11,12,51,up,up,,
2013,07,11,12,52,up,up,,
2013,07,11,12,53,up,up,,
2013,07,11,12,54,up,up,,
2013,07,11,12,55,up,up,,
2013,07,11,12,56,up,up,,
2013,07,11,12,57,up,up,,
2013,07,11,12,58,up,up,,
2013,07,11,12,59,up,up,,
2013,07,11,13,00,up,up,,
2013,07,11,13,01,up,up,,
2013,07,11,13,02,up,up,,
2013,07,11,13,03,up,up,,
2013,07,11,13,04,up,up,,
2013,07,11,13,05,up,up,,
2013,07,11,13,06,up,up,,
2013,07,11,13,07,up,up,,
2013,07,11,13,08,up,up,,
2013,07,11,13,09,up,up,,
2013,07,11,13,10,up,up,,
2013,07,11,13,11,up,up,,
2013,07,11,13,12,up,up,,
2013,07,11,13,13,up,up,,
2013,07,11,13,14,up,up,,
2013,07,11,13,15,up,up,,
2013,07,11,13,16,up,up,,
2013,07,11,13,17,up,up,,
2013,07,11,13,18,up,up,,
2013,07,11,13,19,up,up,,
2013,07,11,13,20,up,up,,
2013,07,11,13,21,up,up,,
2013,07,11,13,22,up,up,,
2013,07,11,13,23,up,up,,
2013,07,11,13,24,up,up,,
2013,07,11,13,25,up,up,,
2013,07,11,13,26,up,up,,
2013,07,11,13,27,up,up,,
2013,07,11,13,28,up,up,,
2013,07,11,13,29,up,up,,
2013,07,11,13,30,up,up,,
2013,07,11,13,31,up,up,,
2013,07,11,13,32,up,up,,
2013,07,11,13,33,up,up,,
2013,07,11,13,34,up,up,,
2013,07,11,13,35,up,up,,
2013,07,11,13,36,up,up,,
2013,07,11,13,37,up,up,,
2013,07,11,13,38,up,up,,
2013,07,11,13,39,up,up,,
2013,07,11,13,40,up,up,,
2013,07,11,13,41,up,up,,
2013,07,11,13,42,up,up,,
2013,07,11,13,43,up,up,,
2013,07,11,13,44,up,up,,
2013,07,11,13,45,up,up,,
2013,07,11,13,46,up,up,,
2013,07,11,13,47,up,up,,
2013,07,11,13,48,up,up,,
2013,07,11,13,49,up,up,,
2013,07,11,13,50,up,up,,
2013,07,11,13,51,up,up,,
2013,07,11,13,52,up,up,,
2013,07,11,13,53,up,up,,
2013,07,11,13,54,up,up,,
2013,07,11,13,55,up,up,,
2013,07,11,13,56,up,up,,
2013,07,11,13,57,up,up,,
2013,07,11,13,58,up,up,,
2013,07,11,13,59,up,up,,
2013,07,11,14,00,up,up,,
2013,07,11,14,01,up,up,,
2013,07,11,14,02,up,up,,
2013,07,11,14,03,up,up,,
2013,07,11,14,04,up,up,,
2013,07,11,14,05,up,up,,
2013,07,11,14,06,up,up,,
2013,07,11,14,07,up,up,,
2013,07,11,14,08,up,up,,
2013,07,11,14,09,up,up,,
2013,07,11,14,10,up,up,,
2013,07,11,14,11,up,up,,
2013,07,11,14,12,up,up,,
2013,07,11,14,13,up,up,,
2013,07,11,14,14,up,up,,
2013,07,11,14,15,up,up,,
2013,07,11,14,16,up,up,,
2013,07,11,14,17,up,up,,
2013,07,11,14,18,up,up,,
2013,07,11,14,19,up,up,,
2013,07,11,14,20,up,up,,
2013,07,11,14,21,up,up,,
2013,07,11,14,22,up,up,,
2013,07,11,14,23,up,up,,
2013,07,11,14,24,up,up,,
2013,07,11,14,25,up,up,,
2013,07,11,14,26,up,up,,
2013,07,11,14,27,up,up,,
2013,07,11,14,28,up,up,,
2013,07,11,14,29,up,up,,
2013,07,11,14,30,up,up,,
2013,07,11,14,31,up,up,,
2013,07,11,14,32,up,up,,
2013,07,11,14,33,up,up,,
2013,07,11,14,34,up,up,,
2013,07,11,14,35,up,up,,
2013,07,11,14,36,up,up,,
2013,07,11,14,37,up,up,,
2013,07,11,14,38,up,up,,
2013,07,11,14,39,up,up,,
2013,07,11,14,40,up,up,,
2013,07,11,14,41,up,up,,
2013,07,11,14,42,up,up,,
2013,07,11,14,43,up,up,,
2013,07,11,14,44,up,up,,
2013,07,11,14,45,up,up,,
2013,07,11,14,46,up,up,,
2013,07,11,14,47,up,up,,
2013,07,11,14,48,up,up,,
2013,07,11,14,49,up,up,,
2013,07,11,14,50,up,up,,
2013,07,11,14,51,up,up,,
2013,07,11,14,52,up,up,,
2013,07,11,14,53,up,up,,
2013,07,11,14,54,up,up,,
2013,07,11,14,55,up,up,,
2013,07,11,14,56,up,up,,
2013,07,11,14,57,up,up,,
2013,07,11,14,58,up,up,,
2013,07,11,14,59,up,up,,
2013,07,11,15,00,up,up,,
2013,07,11,15,01,up,up,,
2013,07,11,15,02,up,up,,
2013,07,11,15,03,up,up,,
2013,07,11,15,04,up,up,,
2013,07,11,15,05,up,up,,
2013,07,11,15,06,up,up,,
2013,07,11,15,07,up,up,,
2013,07,11,15,08,up,up,,
2013,07,11,15,09,up,up,,
2013,07,11,15,10,up,up,,
2013,07,11,15,11,up,up,,
2013,07,11,15,12,up,up,,
2013,07,11,15,13,up,up,,
2013,07,11,15,14,up,up,,
2013,07,11,15,15,up,up,,
2013,07,11,15,16,up,up,,
2013,07,11,15,17,up,up,,
2013,07,11,15,18,up,up,,
2013,07,11,15,19,up,up,,
2013,07,11,15,20,up,up,,
2013,07,11,15,21,up,up,,
2013,07,11,15,22,up,up,,
2013,07,11,15,23,up,up,,
2013,07,11,15,24,up,up,,
2013,07,11,15,25,up,up,,
2013,07,11,15,26,up,up,,
2013,07,11,15,27,up,up,,
2013,07,11,15,28,up,up,,
2013,07,11,15,29,up,up,,
2013,07,11,15,30,up,up,,
2013,07,11,15,31,up,up,,
2013,07,11,15,32,up,up,,
2013,07,11,15,33,up,up,,
2013,07,11,15,34,up,up,,
2013,07,11,15,35,up,up,,
2013,07,11,15,36,up,up,,
2013,07,11,15,37,up,up,,
2013,07,11,15,38,up,up,,
2013,07,11,15,39,up,up,,
2013,07,11,15,40,up,up,,
2013,07,11,15,41,up,up,,
2013,07,11,15,42,up,up,,
2013,07,11,15,43,up,up,,
2013,07,11,15,44,up,up,,
2013,07,11,15,45,up,up,,
2013,07,11,15,46,up,up,,
2013,07,11,15,47,up,up,,
2013,07,11,15,48,up,up,,
2013,07,11,15,49,up,up,,
2013,07,11,15,50,up,up,,
2013,07,11,15,51,up,up,,
2013,07,11,15,52,up,up,,
2013,07,11,15,53,up,up,,
2013,07,11,15,54,up,up,,
2013,07,11,15,55,up,up,,
2013,07,11,15,56,up,up,,
2013,07,11,15,57,up,up,,
2013,07,11,15,58,up,up,,
2013,07,11,15,59,up,up,,
2013,07,11,16,00,up,up,,
2013,07,11,16,01,up,up,,
2013,07,11,16,02,up,up,,
2013,07,11,16,03,up,up,,
2013,07,11,16,04,up,up,,
2013,07,11,16,05,up,up,,
2013,07,11,16,06,up,up,,
2013,07,11,16,07,up,up,,
2013,07,11,16,08,up,up,,
2013,07,11,16,09,up,up,,
2013,07,11,16,10,up,up,,
2013,07,11,16,11,up,up,,
2013,07,11,16,12,up,up,,
2013,07,11,16,13,up,up,,
2013,07,11,16,14,up,up,,
2013,07,11,16,15,up,up,,
2013,07,11,16,16,up,up,,
2013,07,11,16,17,up,up,,
2013,07,11,16,18,up,up,,
2013,07,11,16,19,up,up,,
2013,07,11,16,20,up,up,,
2013,07,11,16,21,up,up,,
2013,07,11,16,22,up,up,,
2013,07,11,16,23,up,up,,
2013,07,11,16,24,up,up,,
2013,07,11,16,25,up,up,,
2013,07,11,16,26,up,up,,
2013,07,11,16,27,up,up,,
2013,07,11,16,28,up,up,,
2013,07,11,16,29,up,up,,
2013,07,11,16,30,up,up,,
2013,07,11,16,31,up,up,,
2013,07,11,16,32,up,up,,
2013,07,11,16,33,up,up,,
2013,07,11,16,34,up,up,,
2013,07,11,16,35,up,up,,
2013,07,11,16,36,up,up,,
2013,07,11,16,37,up,up,,
2013,07,11,16,38,up,up,,
2013,07,11,16,39,up,up,,
2013,07,11,16,40,up,up,,
2013,07,11,16,41,up,up,,
2013,07,11,16,42,up,up,,
2013,07,11,16,43,up,up,,
2013,07,11,16,44,up,up,,
2013,07,11,16,45,up,up,,
2013,07,11,16,46,up,up,,
2013,07,11,16,47,up,up,,
2013,07,11,16,48,up,up,,
2013,07,11,16,49,up,up,,
2013,07,11,16,50,up,up,,
2013,07,11,16,51,up,up,,
2013,07,11,16,52,up,up,,
2013,07,11,16,53,up,up,,
2013,07,11,16,54,up,up,,
